epoch,phase,layer,stage,mae,rmse,relative_l1,relative_l2,max_abs,samples,batches,numel
19,train,encoder.layers.0.attention.attention,attention_output,0.2813359847772567,0.4720316442465148,4.686054112640841,2.8298894736842044,17.380313873291016,29000,454,410173440
19,train,encoder.layers.1.attention.attention,qk_scores,0.6417704940355063,0.8503166238004715,0.4837581113295004,0.42452655270862144,7.036664009094238,29000,454,180782592
19,train,encoder.layers.1.attention.attention,softmax_probs,0.013254299737286715,0.03685133851434672,0.3738744915948315,0.39472378928460866,0.8883812427520752,29000,454,180782592
19,train,encoder.layers.1.attention.attention,attention_output,0.14666353220089196,0.20106947506525366,0.836715177035897,0.7280409188232999,4.34946870803833,29000,454,410173440
19,train,encoder.layers.2.attention.attention,qk_scores,0.2222519941931264,0.44696085456535606,0.5226548072168616,0.411196385841392,6.766971111297607,29000,454,180782592
19,train,encoder.layers.2.attention.attention,softmax_probs,0.006197969519167043,0.020236158377644198,0.17483101701555506,0.2984135456579902,0.8159633874893188,29000,454,180782592
19,train,encoder.layers.2.attention.attention,attention_output,0.08687572304136339,0.13457579596057384,1.4654551160707534,1.0383279368547447,3.3549540042877197,29000,454,410173440
19,train,encoder.layers.3.attention.attention,qk_scores,0.02539655628446646,0.044467679068406436,1.147476767167596,1.1415007729625335,0.44099223613739014,29000,454,180782592
19,train,encoder.layers.3.attention.attention,softmax_probs,0.0009624044228442316,0.0020385058913592025,0.027147300983941886,0.0395625694800235,0.051450446248054504,29000,454,180782592
19,train,encoder.layers.3.attention.attention,attention_output,0.012878994009488592,0.017517579647467214,0.6295303061741687,0.6261159519289557,0.4607945680618286,29000,454,410173440
19,train,encoder.layers.4.attention.attention,qk_scores,0.023761267471511183,0.04045655261150729,0.8571892936358765,0.8360205244538307,0.4620242714881897,29000,454,180782592
19,train,encoder.layers.4.attention.attention,softmax_probs,0.0008616988918653533,0.0018336146161974736,0.02430662060536285,0.03556080648870305,0.05147166550159454,29000,454,180782592
19,train,encoder.layers.4.attention.attention,attention_output,0.012779630793826604,0.01718540638593143,0.7140555012746685,0.7352597815990126,0.3139798045158386,29000,454,410173440
19,train,encoder.layers.5.attention.attention,qk_scores,0.08165027626289519,0.14747840096390966,0.4260306700313136,0.21374663496047297,2.354477882385254,29000,454,180782592
19,train,encoder.layers.5.attention.attention,softmax_probs,0.0024421974997138793,0.005518155699495529,0.06888899200091658,0.10211424478885595,0.2731877863407135,29000,454,180782592
19,train,encoder.layers.5.attention.attention,attention_output,0.07127292534775045,0.11134109559717917,2.6329753784506544,1.9357947543507055,2.0391314029693604,29000,454,410173440
19,train,decoder.layers.0.attention.attention,qk_scores,0.6832348213220001,0.8814109172444132,0.303199984442488,0.35003060331060504,7.112301826477051,29000,454,173820992
19,train,decoder.layers.0.attention.attention,softmax_probs,0.008846580701188118,0.03132541297100298,0.24486509172298004,0.22664441778867553,0.848798930644989,29000,454,173820992
19,train,decoder.layers.0.attention.attention,attention_output,0.26471008291820175,0.41918972573649005,3.3937208484793606,2.5390359050811795,5.768768310546875,29000,454,401911808
19,train,decoder.layers.0.crossattention.attention,qk_scores,0.08477323434079712,0.157614445687484,0.49753160295213034,0.3946582813167207,2.122006416320801,29000,454,176259840
19,train,decoder.layers.0.crossattention.attention,softmax_probs,0.0021892205359986786,0.006010677191403382,0.06144578446819319,0.11247298736516603,0.3391229510307312,29000,454,176259840
19,train,decoder.layers.0.crossattention.attention,attention_output,0.11227263171589989,0.19400699485512732,2.749398939858858,2.089952231017161,3.9505181312561035,29000,454,401911808
19,train,decoder.layers.1.attention.attention,qk_scores,0.28077781352842335,0.38068285322308204,0.4610513253892541,0.32025607645807225,3.4409849643707275,29000,454,173820992
19,train,decoder.layers.1.attention.attention,softmax_probs,0.006191512296844587,0.016549684951707982,0.1713752779384237,0.19354930791045136,0.5293288230895996,29000,454,173820992
19,train,decoder.layers.1.attention.attention,attention_output,0.19145128276548498,0.38500342017539335,2.1206940672335257,1.9549500619763114,12.3846435546875,29000,454,401911808
19,train,decoder.layers.1.crossattention.attention,qk_scores,0.0020667899378468317,0.005228811006927543,0.0991169386969794,0.08557966523551833,0.11829793453216553,29000,454,176259840
19,train,decoder.layers.1.crossattention.attention,softmax_probs,7.862038832459167e-05,0.0002859281358844445,0.002206671898221874,0.00552968065493053,0.019627749919891357,29000,454,176259840
19,train,decoder.layers.1.crossattention.attention,attention_output,0.013107401541639271,0.019395999843467824,0.5802055459413457,0.5864096813401578,1.1004868745803833,29000,454,401911808
19,train,decoder.layers.2.attention.attention,qk_scores,0.3089541256278246,0.4544017702275167,0.5212286590450664,0.4098631655136959,4.766872406005859,29000,454,173820992
19,train,decoder.layers.2.attention.attention,softmax_probs,0.0071296244222544556,0.020938501221748316,0.19734134543883958,0.2342223068454915,0.8142277598381042,29000,454,173820992
19,train,decoder.layers.2.attention.attention,attention_output,0.1733439173368508,0.27087925318183376,2.067483257943101,1.684951993844217,4.820178031921387,29000,454,401911808
19,train,decoder.layers.2.crossattention.attention,qk_scores,0.02435340696676838,0.08672981075346065,0.2633889847013872,0.24820576191512622,1.8959991931915283,29000,454,176259840
19,train,decoder.layers.2.crossattention.attention,softmax_probs,0.0005933971277312787,0.0037145342221354765,0.016655129720856532,0.06809139097427505,0.32649505138397217,29000,454,176259840
19,train,decoder.layers.2.crossattention.attention,attention_output,0.05781951555689613,0.09724764592126472,2.351737868949375,1.7793847148544446,2.824669361114502,29000,454,401911808
19,train,decoder.layers.3.attention.attention,qk_scores,0.5519652878114579,0.748192245452332,0.5814588909559133,0.4831290315194997,7.295055389404297,29000,454,173820992
19,train,decoder.layers.3.attention.attention,softmax_probs,0.011691885886576447,0.034538912823551766,0.3236204819390455,0.33085890436745796,0.8901309370994568,29000,454,173820992
19,train,decoder.layers.3.attention.attention,attention_output,0.21432256321261545,0.32713794893524734,1.9068300464403742,1.577233965961162,6.128002166748047,29000,454,401911808
19,train,decoder.layers.3.crossattention.attention,qk_scores,0.11189919234587795,0.2037897285064991,0.22394345564033166,0.19947965474772394,2.508237361907959,29000,454,176259840
19,train,decoder.layers.3.crossattention.attention,softmax_probs,0.0026305410343554067,0.008712529454668806,0.07383251471191107,0.13423218059240713,0.3762826919555664,29000,454,176259840
19,train,decoder.layers.3.crossattention.attention,attention_output,0.07698786595466821,0.12371472591280673,1.4035691028242256,1.0158258604091557,2.094186305999756,29000,454,401911808
19,train,decoder.layers.4.attention.attention,qk_scores,0.669633105397592,0.8559570155677318,0.47678515428605206,0.4231307912794878,6.88630485534668,29000,454,173820992
